E,flux
0.018784,0.011861
0.037567,0.047353
0.056351,0.106337
0.075135,0.188675
0.093919,0.294224
0.112700,0.422856
0.131490,0.574426
0.150270,0.748805
0.169050,0.945826
0.187840,1.165398
0.206620,1.407402
0.225400,1.671596
0.244190,1.957981
0.262970,2.266315
0.281760,2.596438
0.300540,2.948348
0.319320,3.321806
0.338110,3.716812
0.356890,4.133042
0.375670,4.570418
0.394460,5.028940
0.413240,5.508284
0.432030,6.008453
0.450810,6.529204
0.469590,7.070537
0.488380,7.632292
0.507160,8.214468
0.525940,8.816664
0.544730,9.438156
0.563510,10.080552
0.582300,10.742244
0.601080,11.423232
0.619860,12.123516
0.638650,12.843900
0.657430,13.582776
0.676210,14.340948
0.695000,15.118416
0.713780,15.914376
0.732570,16.729632
0.751350,17.562576
0.770130,18.414816
0.788920,19.284744
0.807700,20.172360
0.826480,21.079272
0.845270,22.003068
0.864050,22.945356
0.882840,23.904528
0.901620,24.882192
0.920400,25.876740
0.939190,26.888172
0.957970,27.917292
0.976750,28.963296
0.995540,30.026184
1.014300,31.106760
1.033100,32.202612
1.051900,33.316152
1.070700,34.444968
1.089500,35.590668
1.108200,36.752448
1.127000,37.930308
1.145800,39.124248
1.164600,40.334268
1.183400,41.559564
1.202200,42.800136
1.220900,44.056788
1.239700,45.327912
1.258500,46.615116
1.277300,47.916792
1.296100,49.233744
1.314900,50.565168
1.333600,51.911868
1.352400,53.273040
1.371200,54.648684
1.390000,56.037996
1.408800,57.441780
1.427600,58.860036
1.446300,60.292764
1.465100,61.738356
1.483900,63.198420
1.502700,64.671348
1.521500,66.158748
1.540300,67.659012
1.559000,69.172140
1.577800,70.698936
1.596600,72.239400
1.615400,73.791924
1.634200,75.357312
1.653000,76.935564
1.671800,78.526680
1.690500,80.130660
1.709300,81.742680
1.728100,83.374800
1.746900,85.014960
1.765700,86.663160
1.784500,88.327440
1.803200,90.007800
1.822000,91.696200
1.840800,93.392640
1.859600,95.105160
1.878400,96.825720
1.897200,98.562360
1.915900,100.307040
1.934700,102.059760
1.953500,103.828560
1.972300,105.605400
1.991100,107.390280
2.009900,109.191240
2.028600,111.000240
2.047400,112.817280
2.066200,114.642360
2.085000,116.483520
2.103800,118.332720
2.122600,120.189960
