E,flux
0.005995,95613.920000
0.011990,379620.000000
0.017985,847773.600000
0.023980,1495895.200000
0.029975,2319781.600000
0.035970,3315200.000000
0.041965,4478480.000000
0.047960,5804856.000000
0.053955,7290776.000000
0.059950,8932096.000000
0.065945,10724672.000000
0.071940,12664656.000000
0.077935,14748200.000000
0.083930,16971160.000000
0.089925,19329984.000000
0.095920,21820528.000000
0.101920,24439240.000000
0.107910,27182272.000000
0.113910,30046960.000000
0.119900,33024720.000000
0.125900,36117920.000000
0.131890,39320640.000000
0.137890,42629920.000000
0.143880,46039840.000000
0.149880,49550400.000000
0.155870,53152720.000000
0.161870,56849760.000000
0.167860,60632640.000000
0.173860,64501360.000000
0.179850,68450000.000000
0.185850,72478560.000000
0.191840,76578160.000000
0.197840,80751760.000000
0.203830,84990480.000000
0.209830,89294320.000000
0.215820,93660320.000000
0.221820,98085520.000000
0.227810,102564000.000000
0.233810,107092800.000000
0.239800,111671920.000000
0.245790,116295440.000000
0.251790,120960400.000000
0.257790,125666800.000000
0.263780,130408720.000000
0.269780,135183200.000000
0.275770,139987280.000000
0.281770,144820960.000000
0.287760,149678320.000000
0.293760,154556400.000000
0.299750,159452240.000000
0.305750,164365840.000000
0.311740,169291280.000000
0.317740,174228560.000000
0.323730,179174720.000000
0.329720,184123840.000000
0.335720,189075920.000000
0.341720,194025040.000000
0.347710,198974160.000000
0.353710,203917360.000000
0.359700,208851680.000000
0.365690,213777120.000000
0.371690,218687760.000000
0.377690,223583600.000000
0.383680,228461680.000000
0.389670,233319040.000000
0.395670,238155680.000000
0.401670,242965680.000000
0.407660,247746080.000000
0.413650,252499840.000000
0.419650,257221040.000000
0.425650,261909680.000000
0.431640,266559840.000000
0.437640,271171520.000000
0.443630,275744720.000000
0.449630,280273520.000000
0.455620,284757920.000000
0.461620,289194960.000000
0.467610,293581680.000000
0.473610,297924000.000000
0.479600,302216000.000000
0.485600,306448800.000000
0.491590,310622400.000000
0.497590,314736800.000000
0.503580,318792000.000000
0.509580,322758400.000000
0.515570,326695200.000000
0.521570,330572800.000000
0.527560,334361600.000000
0.533560,338091200.000000
0.539550,341732000.000000
0.545550,345313600.000000
0.551540,348836000.000000
0.557540,352269600.000000
0.563530,355614400.000000
0.569530,358900000.000000
0.575520,362096800.000000
0.581520,365204800.000000
0.587510,368224000.000000
0.593510,371184000.000000
0.599500,374025600.000000
0.605500,376808000.000000
0.611490,379501600.000000
0.617480,382076800.000000
0.623480,384592800.000000
0.629480,386990400.000000
0.635470,389328800.000000
0.641470,391519200.000000
0.647460,393650400.000000
0.653460,395692800.000000
0.659450,397616800.000000
0.665440,399422400.000000
0.671440,401168800.000000
0.677440,402796800.000000
0.683430,404306400.000000
0.689420,405727200.000000
0.695420,407029600.000000
0.701420,408243200.000000
0.707410,409338400.000000
0.713410,410344800.000000
0.719400,411203200.000000
0.725400,411972800.000000
0.731390,412653600.000000
0.737390,413186400.000000
0.743380,413630400.000000
0.749380,413956000.000000
0.755370,414163200.000000
0.761370,414281600.000000
0.767360,414252000.000000
0.773360,414133600.000000
0.779350,413867200.000000
0.785350,413512000.000000
0.791340,413008800.000000
0.797340,412416800.000000
0.803330,411706400.000000
0.809330,410848000.000000
0.815320,409900800.000000
0.821310,408805600.000000
0.827310,407592000.000000
0.833310,406289600.000000
0.839300,404839200.000000
0.845300,403240800.000000
0.851290,401553600.000000
0.857290,399748000.000000
0.863280,397794400.000000
0.869280,395722400.000000
0.875270,393532000.000000
0.881270,391193600.000000
0.887260,388766400.000000
0.893250,386191200.000000
0.899250,383468000.000000
0.905250,380626400.000000
0.911240,377666400.000000
0.917240,374588000.000000
0.923230,371361600.000000
0.929230,368016800.000000
0.935220,364524000.000000
0.941220,360912800.000000
0.947210,357153600.000000
0.953210,353276000.000000
0.959200,349250400.000000
0.965200,345076800.000000
0.971190,340784800.000000
0.977190,336344800.000000
0.983180,331786400.000000
0.989180,327080000.000000
0.995170,322225600.000000
1.001200,317223200.000000
1.007200,312072800.000000
1.013200,306774400.000000
1.019200,301328000.000000
1.025100,295724720.000000
1.031100,289967520.000000
1.037100,284053440.000000
1.043100,277973600.000000
1.049100,271728000.000000
1.055100,265310720.000000
1.061100,258718800.000000
1.067100,251940400.000000
1.073100,244972560.000000
1.079100,237809360.000000
1.085100,230438960.000000
1.091100,222852480.000000
1.097100,215038080.000000
1.103100,206983920.000000
1.109100,198666320.000000
1.115100,190073440.000000
1.121100,181181600.000000
1.127100,171958240.000000
1.133100,162370800.000000
1.139100,152374880.000000
1.145000,141923120.000000
1.151000,130938560.000000
1.157000,119335360.000000
1.163000,106986240.000000
1.169000,93719520.000000
1.175000,79271760.000000
1.181000,63234480.000000
1.187000,44888400.000000
1.193000,22853272.000000
1.199000,0.000000
