E,flux
0.005040,211750000.000000
0.010080,834900000.000000
0.015120,1857350000.000000
0.020160,3254900000.000000
0.025200,5021500000.000000
0.030240,7132950000.000000
0.035280,9571100000.000000
0.040320,12329900000.000000
0.045370,15385150000.000002
0.050410,18718700000.000000
0.055450,22330550000.000000
0.060490,26190450000.000000
0.065530,30286300000.000004
0.070570,34612050000.000000
0.075610,39137450000.000000
0.080650,43862500000.000000
0.085690,48769050000.000000
0.090730,53838950000.000000
0.095770,59054050000.000000
0.100810,64414350000.000000
0.105850,69895650000.000000
0.110890,75485850000.000000
0.115930,81172850000.000000
0.120970,86938500000.000000
0.126010,92776750000.000000
0.131060,98675500000.000000
0.136100,104610550000.000000
0.141140,110581900000.000000
0.146180,116565350000.000000
0.151220,122560899999.999985
0.156260,128544349999.999985
0.161300,134509650000.000000
0.166340,140444700000.000000
0.171380,146331350000.000000
0.176420,152163550000.000000
0.181460,157935250000.000000
0.186500,163616200000.000000
0.191540,169212450000.000000
0.196580,174705850000.000000
0.201620,180084300000.000000
0.206660,185335700000.000000
0.211710,190447950000.000000
0.216750,195415000000.000000
0.221790,200218700000.000000
0.226830,204846950000.000000
0.231870,209293700000.000000
0.236910,213552900000.000000
0.241950,217594300000.000000
0.246990,221423950000.000000
0.252030,225023700000.000000
0.257070,228381450000.000000
0.262110,231485100000.000000
0.267150,234322550000.000000
0.272190,236881700000.000000
0.277230,239150450000.000000
0.282270,241116700000.000000
0.287310,242768349999.999969
0.292350,244081200000.000000
0.297400,245055250000.000031
0.302440,245660250000.000000
0.307480,245896200000.000000
0.312520,245732850000.000000
0.317560,245158100000.000000
0.322600,244153799999.999969
0.327640,242689700000.000000
0.332680,240753700000.000000
0.337720,238315550000.000000
0.342760,235345000000.000000
0.347800,231811800000.000000
0.352840,227673600000.000000
0.357880,222894100000.000000
0.362920,217418850000.000000
0.367960,211187350000.000000
0.373000,204127000000.000000
0.378040,196153100000.000000
0.383090,187138600000.000000
0.388130,176938300000.000000
0.393170,165346500000.000000
0.398210,152072800000.000000
0.403250,136663450000.000015
0.408290,118380350000.000000
0.413330,95783600000.000000
0.418370,65237150000.000000
0.423410,0.000000
