x	y
0.155	0.547
0.180	0.548
0.205	0.548
0.233	0.546
0.267	0.545
0.303	0.544
0.339	0.543
0.379	0.540
0.431	0.540
0.487	0.538
0.557	0.534
0.649	0.532
0.742	0.529
0.857	0.525
1.018	0.520
1.163	0.515
1.301	0.510
1.468	0.504
1.648	0.498
1.818	0.492
2.008	0.486
2.260	0.477
2.446	0.470
2.676	0.463
2.928	0.454
3.139	0.446
3.413	0.438
3.696	0.429
3.963	0.421
4.287	0.412
4.621	0.403
5.011	0.394
5.426	0.385
5.796	0.378
6.204	0.370
6.805	0.361
7.449	0.354
8.040	0.347
8.654	0.342
9.595	0.335
10.895	0.329
12.433	0.326
14.012	0.324
16.062	0.322
18.708	0.322
