E,flux
0.000000,0.000000
0.020000,43.000000
0.040000,170.000000
0.060000,376.000000
0.080000,657.000000
0.100000,1009.500000
0.120000,1429.500000
0.140000,1912.500000
0.160000,2456.000000
0.180000,3056.000000
0.200000,3708.500000
0.220000,4409.500000
0.240000,5156.000000
0.260000,5942.500000
0.280000,6764.000000
0.300000,7610.000000
0.320000,8459.500000
0.340000,9324.000000
0.360000,10365.000000
0.380000,11450.500000
0.400000,12578.000000
0.420000,13741.500000
0.440000,14948.500000
0.460000,16218.500000
0.480000,17529.000000
0.500000,18877.500000
0.520000,20255.500000
0.540000,21681.000000
0.560000,23171.500000
0.580000,24701.500000
0.600000,26268.500000
0.620000,27868.000000
0.640000,29512.000000
0.660000,31202.500000
0.680000,32929.000000
0.700000,34690.500000
0.720000,36484.000000
0.740000,38316.500000
0.760000,40186.500000
0.780000,42089.000000
0.800000,44022.000000
0.820000,45981.000000
0.840000,47983.000000
0.860000,50018.500000
0.880000,52082.500000
0.900000,54174.000000
0.920000,56284.000000
0.940000,58446.000000
0.960000,60637.500000
0.980000,62855.500000
1.000000,65098.000000
1.020000,67358.000000
1.040000,69667.500000
1.060000,72002.000000
1.080000,74361.000000
1.100000,76742.000000
1.120000,79142.000000
1.140000,81584.000000
1.160000,84048.500000
1.180000,86536.000000
1.200000,89043.500000
1.220000,91570.000000
1.240000,94130.500000
1.260000,96711.500000
1.280000,99312.500000
1.300000,101932.000000
1.320000,104570.000000
1.340000,107234.500000
1.360000,109917.500000
1.380000,112617.000000
1.400000,115331.500000
1.420000,118064.000000
1.440000,120824.500000
1.460000,123601.500000
1.480000,126393.500000
1.500000,129197.500000
1.520000,132020.000000
1.540000,134865.500000
1.560000,137725.000000
1.580000,140597.500000
1.600000,143481.500000
1.620000,146381.500000
1.640000,149299.500000
1.660000,152230.000000
1.680000,155171.000000
1.700000,158121.500000
1.720000,161087.000000
1.740000,164066.500000
1.760000,167055.000000
1.780000,170052.500000
1.800000,173054.000000
1.820000,176076.000000
1.840000,179110.000000
1.860000,182152.000000
1.880000,185200.500000
1.900000,188251.500000
1.920000,191322.500000
1.940000,194401.000000
1.960000,197485.500000
1.980000,200575.000000
2.000000,203665.000000
2.020000,206775.500000
2.040000,209891.000000
2.060000,213010.500000
2.080000,216133.500000
2.100000,219256.500000
2.120000,222396.500000
2.140000,225539.500000
2.160000,228685.500000
2.180000,231832.000000
2.200000,234979.500000
2.220000,238140.500000
2.240000,241303.000000
2.260000,244467.000000
2.280000,247630.000000
2.300000,250793.500000
2.320000,253967.500000
2.340000,257141.500000
2.360000,260315.000000
2.380000,263486.000000
2.400000,266657.500000
2.420000,269838.500000
2.440000,273018.000000
2.460000,276195.500000
2.480000,279368.500000
2.500000,282542.500000
2.520000,285722.000000
2.540000,288899.000000
2.560000,292071.500000
2.580000,295238.000000
2.600000,298407.000000
2.620000,301579.000000
2.640000,304746.000000
2.660000,307908.000000
2.680000,311062.000000
2.700000,314219.500000
2.720000,317376.500000
2.740000,320527.500000
2.760000,323672.500000
2.780000,326806.500000
2.800000,329946.500000
2.820000,333083.000000
2.840000,336212.500000
2.860000,339333.500000
2.880000,342442.000000
2.900000,345559.500000
2.920000,348669.500000
2.940000,351771.500000
2.960000,354864.500000
2.980000,357945.500000
3.000000,361030.500000
3.020000,364107.000000
3.040000,367174.000000
3.060000,370230.500000
3.080000,373276.000000
3.100000,376323.000000
3.120000,379360.000000
3.140000,382387.000000
3.160000,385402.000000
3.180000,388405.500000
3.200000,391409.500000
3.220000,394403.000000
3.240000,397385.000000
3.260000,400353.500000
3.280000,403312.000000
3.300000,406267.000000
3.320000,409210.000000
3.340000,412140.500000
3.360000,415056.000000
3.380000,417962.500000
3.400000,420865.000000
3.420000,423754.500000
3.440000,426631.000000
3.460000,429491.500000
3.480000,432343.500000
3.500000,435187.500000
3.520000,438018.000000
3.540000,440834.000000
3.560000,443632.500000
3.580000,446424.500000
3.600000,449206.500000
3.620000,451973.500000
3.640000,454725.000000
3.660000,457457.000000
3.680000,460185.500000
3.700000,462902.000000
3.720000,465602.000000
3.740000,468286.000000
3.760000,470948.000000
3.780000,473610.500000
3.800000,476257.000000
3.820000,478887.000000
3.840000,481499.500000
3.860000,484091.500000
3.880000,486680.500000
3.900000,489253.000000
3.920000,491808.500000
3.940000,494345.000000
3.960000,496861.500000
3.980000,499374.000000
4.000000,501869.000000
4.020000,504345.500000
4.040000,506803.000000
4.060000,509241.000000
4.080000,511674.000000
4.100000,514088.500000
4.120000,516484.000000
4.140000,518860.000000
4.160000,521217.500000
4.180000,523567.500000
4.200000,525898.500000
4.220000,528210.000000
4.240000,530500.000000
4.260000,532774.500000
4.280000,535038.500000
4.300000,537283.000000
4.320000,539507.000000
4.340000,541709.000000
4.360000,543896.500000
4.380000,546071.000000
4.400000,548225.500000
4.420000,550358.500000
4.440000,552467.500000
4.460000,554566.500000
4.480000,556649.500000
4.500000,558712.500000
4.520000,560753.500000
4.540000,562768.500000
4.560000,564777.000000
4.580000,566767.000000
4.600000,568735.500000
4.620000,570682.000000
4.640000,572602.000000
4.660000,574517.000000
4.680000,576411.000000
4.700000,578283.000000
4.720000,580132.000000
4.740000,581956.000000
4.760000,583773.500000
4.780000,585569.500000
4.800000,587343.000000
4.820000,589092.500000
4.840000,590819.000000
4.860000,592536.500000
4.880000,594232.500000
4.900000,595905.500000
4.920000,597554.500000
4.940000,599181.000000
4.960000,600797.500000
4.980000,602392.000000
5.000000,603963.000000
5.020000,605509.500000
5.040000,607036.000000
5.060000,608550.000000
5.080000,610041.000000
5.100000,611509.000000
5.120000,612951.000000
5.140000,614375.000000
5.160000,615785.000000
5.180000,617172.000000
5.200000,618535.000000
5.220000,619871.500000
5.240000,621192.500000
5.260000,622497.500000
5.280000,623778.500000
5.300000,625036.000000
5.320000,626265.000000
5.340000,627482.500000
5.360000,628680.500000
5.380000,629854.500000
5.400000,631004.500000
5.420000,632125.000000
5.440000,633237.500000
5.460000,634328.000000
5.480000,635394.000000
5.500000,636435.500000
5.520000,637448.000000
5.540000,638453.500000
5.560000,639434.500000
5.580000,640392.000000
5.600000,641324.500000
5.620000,642230.000000
5.640000,643126.000000
5.660000,643998.500000
5.680000,644846.500000
5.700000,645668.500000
5.720000,646466.000000
5.740000,647253.500000
5.760000,648016.000000
5.780000,648754.500000
5.800000,649466.500000
5.820000,650156.000000
5.840000,650833.500000
5.860000,651487.500000
5.880000,652116.000000
5.900000,652718.000000
5.920000,653300.500000
5.940000,653868.000000
5.960000,654412.500000
5.980000,654931.000000
6.000000,655422.500000
6.020000,655897.500000
6.040000,656356.500000
6.060000,656791.000000
6.080000,657201.000000
6.100000,657582.500000
6.120000,657951.000000
6.140000,658300.000000
6.160000,658625.000000
6.180000,658924.000000
6.200000,659194.000000
6.220000,659456.000000
6.240000,659696.000000
6.260000,659911.000000
6.280000,660101.500000
6.300000,660262.500000
6.320000,660417.500000
6.340000,660547.500000
6.360000,660654.500000
6.380000,660735.000000
6.400000,660789.000000
6.420000,660835.500000
6.440000,660858.000000
6.460000,660856.000000
6.480000,660829.000000
6.500000,660776.500000
6.520000,660715.000000
6.540000,660629.500000
6.560000,660520.000000
6.580000,660384.500000
6.600000,660227.000000
6.620000,660059.000000
6.640000,659867.000000
6.660000,659651.000000
6.680000,659408.500000
6.700000,659147.500000
6.720000,658873.000000
6.740000,658576.000000
6.760000,658254.500000
6.780000,657906.000000
6.800000,657542.500000
6.820000,657163.500000
6.840000,656761.500000
6.860000,656335.000000
6.880000,655881.000000
6.900000,655416.500000
6.920000,654934.000000
6.940000,654428.500000
6.960000,653899.000000
6.980000,653339.500000
7.000000,652776.000000
7.020000,652191.500000
7.040000,651583.000000
7.060000,650950.500000
7.080000,650290.000000
7.100000,649627.000000
7.120000,648941.000000
7.140000,648233.000000
7.160000,647500.500000
7.180000,646742.000000
7.200000,645979.500000
7.220000,645194.500000
7.240000,644387.000000
7.260000,643555.000000
7.280000,642701.000000
7.300000,641840.000000
7.320000,640957.500000
