E,flux
0.003480,224.332800
0.006960,894.460800
0.010440,2006.078400
0.013920,3554.990400
0.017400,5537.112000
0.020880,7947.696000
0.024360,10782.768000
0.027840,14037.912000
0.031320,17709.816000
0.034800,21792.960000
0.038280,26284.032000
0.041760,31178.616000
0.045240,36472.848000
0.048720,42162.312000
0.052200,48242.592000
0.055680,54710.376000
0.059160,61559.040000
0.062640,68790.240000
0.066120,76396.800000
0.069600,84367.680000
0.073080,92708.400000
0.076560,101413.440000
0.080040,110477.280000
0.083520,119894.400000
0.087000,129664.800000
0.090480,139777.440000
0.093960,150232.320000
0.097440,161029.440000
0.100920,172163.280000
0.104400,183622.800000
0.107880,195413.520000
0.111360,207524.400000
0.114840,219955.440000
0.118320,232701.120000
0.121800,245755.920000
0.125280,259119.840000
0.128760,272792.880000
0.132240,286758.480000
0.135720,301022.160000
0.139200,315583.920000
0.142680,330427.200000
0.146160,345557.520000
0.149640,360969.360000
0.153120,376657.200000
0.156600,392621.040000
0.160080,408849.840000
0.163560,425349.120000
0.167040,442113.360000
0.170520,459131.520000
0.174000,476403.600000
0.177480,493929.600000
0.180960,511704.000000
0.184440,529721.280000
0.187920,547981.440000
0.191400,566462.400000
0.194880,585230.400000
0.198360,604164.000000
0.201840,623373.600000
0.205320,642748.800000
0.208800,662400.000000
0.212280,682216.800000
0.215760,702309.600000
0.219240,722568.000000
0.222720,742992.000000
0.226200,763692.000000
0.229680,784557.600000
0.233160,805644.000000
0.236640,826896.000000
0.240120,848313.600000
0.243600,869952.000000
0.247080,891756.000000
0.250560,913725.600000
0.254040,935916.000000
0.257520,958216.800000
0.261000,980738.400000
0.264480,1003425.600000
0.267960,1026223.200000
0.271440,1049241.600000
0.274920,1072370.400000
0.278400,1095664.800000
0.281880,1119069.600000
0.285360,1142640.000000
0.288840,1166376.000000
0.292320,1190277.600000
0.295800,1214234.400000
0.299280,1238412.000000
0.302760,1262644.800000
0.306240,1287043.200000
0.309720,1311552.000000
0.313200,1336171.200000
0.316680,1360900.800000
0.320160,1385796.000000
0.323640,1410746.400000
0.327120,1435807.200000
0.330600,1460978.400000
0.334080,1486260.000000
0.337560,1511652.000000
0.341040,1537099.200000
0.344520,1562712.000000
0.348000,1588324.800000
0.351480,1614103.200000
0.354960,1639881.600000
0.358440,1665825.600000
0.361920,1691769.600000
0.365400,1717824.000000
0.368880,1743933.600000
0.372360,1770153.600000
0.375840,1796428.800000
0.379320,1822704.000000
0.382800,1849089.600000
0.386280,1875530.400000
0.389760,1902026.400000
0.393240,1928577.600000
0.396720,1955184.000000
0.400200,1981790.400000
0.403680,2008507.200000
0.407160,2035224.000000
0.410640,2061940.800000
0.414120,2088768.000000
0.417600,2115540.000000
0.421080,2142422.400000
0.424560,2169304.800000
0.428040,2196187.200000
0.431520,2223124.800000
0.435000,2250062.400000
0.438480,2277000.000000
0.441960,2303992.800000
0.445440,2330930.400000
0.448920,2357923.200000
0.452400,2384916.000000
0.455880,2411908.800000
0.459360,2438901.600000
0.462840,2465894.400000
0.466320,2492887.200000
0.469800,2519880.000000
0.473280,2546817.600000
0.476760,2573755.200000
0.480240,2600692.800000
0.483720,2627630.400000
0.487200,2654512.800000
0.490680,2681395.200000
0.494160,2708277.600000
0.497640,2735104.800000
0.501120,2761876.800000
0.504600,2788648.800000
0.508080,2815365.600000
0.511560,2842082.400000
0.515040,2868688.800000
0.518520,2895295.200000
0.522000,2921901.600000
0.525480,2948397.600000
0.528960,2974893.600000
0.532440,3001279.200000
0.535920,3027664.800000
0.539400,3053940.000000
0.542880,3080215.200000
0.546360,3106380.000000
0.549840,3132544.800000
0.553320,3158599.200000
0.556800,3184598.400000
0.560280,3210487.200000
0.563760,3236376.000000
0.567240,3262154.400000
0.570720,3287822.400000
0.574200,3313490.400000
0.577680,3338992.800000
0.581160,3364495.200000
0.584640,3389832.000000
0.588120,3415168.800000
0.591600,3440340.000000
0.595080,3465456.000000
0.598560,3490516.800000
0.602040,3515412.000000
0.605520,3540252.000000
0.609000,3564981.600000
0.612480,3589600.800000
0.615960,3614164.800000
0.619440,3638563.200000
0.622920,3662906.400000
0.626400,3687084.000000
0.629880,3711206.400000
0.633360,3735218.400000
0.636840,3759064.800000
0.640320,3782800.800000
0.643800,3806481.600000
0.647280,3829996.800000
0.650760,3853401.600000
0.654240,3876640.800000
0.657720,3899824.800000
0.661200,3922843.200000
0.664680,3945696.000000
0.668160,3968493.600000
0.671640,3991125.600000
0.675120,4013592.000000
0.678600,4035948.000000
0.682080,4058193.600000
0.685560,4080273.600000
0.689040,4102243.200000
0.692520,4123992.000000
0.696000,4145685.600000
0.699480,4167158.400000
0.702960,4188520.800000
0.706440,4209717.600000
0.709920,4230804.000000
0.713400,4251724.800000
0.716880,4272480.000000
0.720360,4293069.600000
0.723840,4313493.600000
0.727320,4333752.000000
0.730800,4353900.000000
0.734280,4373827.200000
0.737760,4393644.000000
0.741240,4413240.000000
0.744720,4432725.600000
0.748200,4451990.400000
0.751680,4471144.800000
0.755160,4490078.400000
0.758640,4508846.400000
0.762120,4527448.800000
0.765600,4545885.600000
0.769080,4564156.800000
0.772560,4582207.200000
0.776040,4600092.000000
0.779520,4617811.200000
0.783000,4635364.800000
0.786480,4652697.600000
0.789960,4669864.800000
0.793440,4686811.200000
0.796920,4703647.200000
0.800400,4720207.200000
0.803880,4736601.600000
0.807360,4752830.400000
0.810840,4768838.400000
0.814320,4784680.800000
0.817800,4800302.400000
0.821280,4815758.400000
0.824760,4830993.600000
0.828240,4846008.000000
0.831720,4860856.800000
0.835200,4875484.800000
0.838680,4889947.200000
