E,flux
0.003464,9064.058000
0.006928,36139.380000
0.010392,81056.040000
0.013856,143638.760000
0.017320,223713.600000
0.020784,321120.000000
0.024248,435675.100000
0.027712,567222.800000
0.031176,715562.400000
0.034640,880560.100000
0.038104,1062037.500000
0.041568,1259816.200000
0.045032,1473740.100000
0.048496,1703630.800000
0.051960,1949309.900000
0.055424,2210665.900000
0.058888,2487565.000000
0.062352,2779695.000000
0.065816,3086766.000000
0.069280,3409224.000000
0.072744,3746177.000000
0.076208,4097848.000000
0.079672,4464237.000000
0.083136,4844675.000000
0.086600,5239385.000000
0.090064,5648144.000000
0.093528,6070729.000000
0.096992,6506917.000000
0.100460,6956708.000000
0.103920,7419879.000000
0.107380,7896430.000000
0.110850,8385915.000000
0.114310,8888111.000000
0.117780,9403241.000000
0.121240,9930859.000000
0.124700,10471188.000000
0.128170,11023559.000000
0.131630,11587972.000000
0.135100,12164427.000000
0.138560,12752924.000000
0.142020,13352794.000000
0.145490,13964260.000000
0.148950,14587099.000000
0.152420,15221311.000000
0.155880,15866227.000000
0.159340,16522293.000000
0.162810,17189063.000000
0.166270,17866537.000000
0.169740,18554492.000000
0.173200,19252482.000000
0.176660,19960953.000000
0.180130,20679236.000000
0.183590,21407554.000000
0.187060,22145461.000000
0.190520,22893180.000000
0.193980,23649150.000000
0.197450,24416270.000000
0.200910,25192310.000000
0.204380,25977270.000000
0.207840,26768920.000000
0.211300,27571720.000000
0.214770,28383440.000000
0.218230,29201850.000000
0.221700,30029180.000000
0.225160,30865430.000000
0.228620,31708370.000000
0.232090,32560230.000000
0.235550,33418780.000000
0.239020,34286250.000000
0.242480,35160410.000000
0.245940,36041260.000000
0.249410,36931030.000000
0.252870,37825260.000000
0.256340,38728410.000000
0.259800,39638250.000000
0.263260,40554780.000000
0.266730,41478000.000000
0.270190,42405680.000000
0.273660,43342280.000000
0.277120,44283340.000000
0.280580,45231090.000000
0.284050,46185530.000000
0.287510,47144430.000000
0.290980,48107790.000000
0.294440,49080070.000000
0.297900,50054580.000000
0.301370,51035780.000000
0.304830,52021440.000000
0.308300,53011560.000000
0.311760,54008370.000000
0.315220,55009640.000000
0.318690,56013140.000000
0.322150,57023330.000000
0.325620,58037980.000000
0.329080,59054860.000000
0.332540,60078430.000000
0.336010,61104230.000000
0.339470,62134490.000000
0.342940,63166980.000000
0.346400,64203930.000000
0.349860,65245340.000000
0.353330,66288980.000000
0.356790,67337080.000000
0.360260,68387410.000000
0.363720,69442200.000000
0.367180,70496990.000000
0.370650,71556240.000000
0.374110,72617720.000000
0.377580,73683660.000000
0.381040,74749600.000000
0.384500,75820000.000000
0.387970,76890400.000000
0.391430,77963030.000000
0.394900,79040120.000000
0.398360,80117210.000000
0.401820,81196530.000000
0.405290,82275850.000000
0.408750,83357400.000000
0.412220,84441180.000000
0.415680,85527190.000000
0.419140,86613200.000000
0.422610,87699210.000000
0.426070,88787450.000000
0.429540,89877920.000000
0.433000,90966160.000000
0.436460,92056630.000000
0.439930,93147100.000000
0.443390,94239800.000000
0.446860,95330270.000000
0.450320,96422970.000000
0.453780,97513440.000000
0.457250,98606140.000000
0.460710,99698840.000000
0.464180,100789310.000000
0.467640,101882010.000000
0.471100,102972480.000000
0.474570,104062950.000000
0.478030,105153420.000000
0.481500,106241660.000000
0.484960,107329900.000000
0.488420,108418140.000000
0.491890,109504150.000000
0.495350,110590160.000000
0.498820,111673940.000000
0.502280,112757720.000000
0.505740,113839270.000000
0.509210,114918590.000000
0.512670,115995680.000000
0.516140,117072770.000000
0.519600,118147630.000000
0.523060,119222490.000000
0.526530,120292890.000000
0.529990,121361060.000000
0.533460,122429230.000000
0.536920,123492940.000000
0.540380,124556650.000000
0.543850,125615900.000000
0.547310,126672920.000000
0.550780,127727710.000000
0.554240,128780270.000000
0.557700,129830600.000000
0.561170,130876470.000000
0.564630,131920110.000000
0.568100,132961520.000000
0.571560,133998470.000000
0.575020,135033190.000000
0.578490,136063450.000000
0.581950,137091480.000000
0.585420,138115050.000000
0.588880,139136390.000000
0.592340,140153270.000000
0.595810,141165690.000000
0.599270,142175880.000000
0.602740,143181610.000000
0.606200,144182880.000000
0.609660,145179690.000000
0.613130,146174270.000000
0.616590,147162160.000000
0.620060,148147820.000000
0.623520,149129020.000000
0.626980,150103530.000000
0.630450,151075810.000000
0.633910,152043630.000000
0.637380,153004760.000000
0.640840,153963660.000000
0.644300,154915870.000000
0.647770,155863620.000000
0.651230,156806910.000000
0.654700,157743510.000000
0.658160,158677880.000000
0.661620,159605560.000000
0.665090,160526550.000000
0.668550,161443080.000000
0.672020,162355150.000000
0.675480,163262760.000000
0.678940,164161450.000000
0.682410,165057910.000000
0.685870,165945450.000000
0.689340,166830760.000000
0.692800,167707150.000000
0.696260,168579080.000000
0.699730,169444320.000000
0.703190,170305100.000000
0.706660,171159190.000000
0.710120,172006590.000000
0.713580,172847300.000000
0.717050,173683550.000000
0.720510,174510880.000000
0.723980,175333750.000000
0.727440,176149930.000000
0.730900,176959420.000000
0.734370,177762220.000000
0.737830,178558330.000000
0.741300,179347750.000000
0.744760,180130480.000000
0.748220,180906520.000000
0.751690,181675870.000000
0.755150,182436300.000000
0.758620,183192270.000000
0.762080,183939320.000000
0.765540,184679680.000000
0.769010,185413350.000000
0.772470,186140330.000000
0.775940,186858390.000000
0.779400,187569760.000000
0.782860,188274440.000000
0.786330,188972430.000000
0.789790,189661500.000000
0.793260,190341650.000000
0.796720,191017340.000000
0.800180,191681880.000000
0.803650,192341960.000000
0.807110,192993120.000000
0.810580,193635360.000000
0.814040,194270910.000000
0.817500,194897540.000000
0.820970,195517480.000000
0.824430,196128500.000000
0.827900,196732830.000000
0.831360,197328240.000000
0.834820,197914730.000000
0.838290,198492300.000000
0.841750,199063180.000000
0.845220,199625140.000000
0.848680,200180410.000000
0.852140,200724530.000000
0.855610,201261960.000000
0.859070,201790470.000000
0.862540,202310060.000000
0.866000,202822960.000000
0.869460,203324710.000000
0.872930,203819770.000000
0.876390,204305910.000000
0.879860,204783130.000000
0.883320,205251430.000000
0.886780,205710810.000000
0.890250,206161270.000000
0.893710,206602810.000000
0.897180,207035430.000000
0.900640,207459130.000000
0.904100,207873910.000000
0.907570,208279770.000000
0.911030,208676710.000000
0.914500,209064730.000000
0.917960,209443830.000000
0.921420,209811780.000000
0.924890,210173040.000000
0.928350,210523150.000000
0.931820,210864340.000000
0.935280,211198840.000000
0.938740,211519960.000000
0.942210,211834390.000000
0.945670,212139900.000000
0.949140,212434260.000000
0.952600,212719700.000000
0.956060,212996220.000000
0.959530,213261590.000000
0.962990,213520270.000000
0.966460,213767800.000000
0.969920,214006410.000000
0.973380,214233870.000000
0.976850,214452410.000000
0.980310,214662030.000000
0.983780,214860500.000000
0.987240,215050050.000000
0.990700,215230680.000000
0.994170,215400160.000000
0.997630,215560720.000000
1.001100,215712360.000000
1.004600,215852850.000000
1.008000,215984420.000000
1.011500,216104840.000000
1.015000,216216340.000000
1.018400,216318920.000000
1.021900,216410350.000000
1.025300,216490630.000000
1.028800,216564220.000000
1.032300,216624430.000000
1.035700,216675720.000000
1.039200,216718090.000000
1.042700,216749310.000000
1.046100,216771610.000000
1.049600,216782760.000000
1.053100,216784990.000000
1.056500,216776070.000000
1.060000,216758230.000000
1.063400,216729240.000000
1.066900,216689100.000000
1.070400,216640040.000000
1.073800,216582060.000000
1.077300,216512930.000000
1.080800,216432650.000000
1.084200,216343450.000000
1.087700,216243100.000000
1.091200,216133830.000000
1.094600,216013410.000000
1.098100,215881840.000000
1.101600,215741350.000000
1.105000,215591940.000000
1.108500,215429150.000000
1.111900,215257440.000000
1.115400,215076810.000000
1.118900,214885030.000000
1.122300,214682100.000000
1.125800,214470250.000000
1.129300,214247250.000000
1.132700,214015330.000000
1.136200,213772260.000000
1.139700,213518040.000000
1.143100,213254900.000000
1.146600,212980610.000000
1.150000,212695170.000000
1.153500,212400810.000000
1.157000,212095300.000000
1.160400,211780870.000000
1.163900,211455290.000000
1.167400,211118560.000000
1.170800,210772910.000000
1.174300,210416110.000000
1.177800,210048160.000000
1.181200,209671290.000000
1.184700,209283270.000000
1.188200,208886330.000000
1.191600,208478240.000000
1.195100,208059000.000000
1.198500,207630840.000000
1.202000,207191530.000000
1.205500,206743300.000000
1.208900,206283920.000000
1.212400,205813390.000000
1.215900,205333940.000000
1.219300,204843340.000000
1.222800,204343820.000000
1.226300,203833150.000000
1.229700,203311330.000000
1.233200,202780590.000000
1.236600,202238700.000000
1.240100,201685660.000000
1.243600,201123700.000000
1.247000,200552820.000000
1.250500,199970790.000000
1.254000,199377610.000000
1.257400,198775510.000000
1.260900,198162260.000000
1.264400,197540090.000000
1.267800,196906770.000000
1.271300,196262300.000000
1.274800,195608910.000000
1.278200,194946600.000000
1.281700,194273140.000000
1.285100,193588530.000000
1.288600,192895000.000000
1.292100,192190320.000000
1.295500,191476720.000000
1.299000,190751970.000000
1.302500,190018300.000000
1.305900,189273480.000000
1.309400,188519740.000000
1.312900,187754850.000000
1.316300,186981040.000000
1.319800,186198310.000000
1.323200,185404430.000000
1.326700,184599400.000000
1.330200,183785450.000000
1.333600,182960350.000000
1.337100,182126330.000000
1.340600,181283390.000000
1.344000,180429300.000000
1.347500,179566290.000000
1.351000,178692130.000000
1.354400,177809050.000000
1.357900,176917050.000000
1.361400,176013900.000000
1.364800,175099600.000000
1.368300,174176380.000000
1.371700,173244240.000000
1.375200,172303180.000000
1.378700,171350970.000000
1.382100,170387610.000000
1.385600,169417560.000000
1.389100,168434130.000000
1.392500,167444010.000000
1.396000,166442740.000000
1.399500,165432550.000000
1.402900,164411210.000000
1.406400,163380950.000000
1.409800,162341770.000000
1.413300,161291440.000000
1.416800,160232190.000000
1.420200,159164020.000000
1.423700,158084700.000000
1.427200,156996460.000000
1.430600,155897070.000000
1.434100,154788760.000000
1.437600,153671530.000000
1.441000,152545380.000000
1.444500,151408080.000000
1.448000,150261860.000000
1.451400,149104490.000000
1.454900,147938200.000000
1.458300,146760760.000000
1.461800,145576630.000000
1.465300,144381350.000000
